sample	H9.24h_066	H9.96h_029	H9.96h_180	H9.96h_095	H9.72h_094	H9.96h_056	H9.96h_165	H9.72h_050	H9.00hb4s_067	H9.72h_072	H9.12h_103	H9.96h_023	H9.36h_110	H9.24h_052	H9.72h_125	H9.96h_184	H9.36h_058	H9.96h_182	H9.72h_128	H9.96h_146	H9.96h_110	H9.96h_072	H9.72h_106	H9.72h_086	H9.36h_086	H9.36h_084	H9.96h_056	H9.72h_097	H9.00hb4s_056	H9.00hb4s_084	H9.24h_063	H9.96h_123	H9.00hb4s_058	H9.36h_112	H9.24h_054	H9.36h_163	H9.36h_083	H9.96h_179	H9.72h_034	H9.00hb4s_045	H9.00hb4s_096	H9.36h_010	H9.72h_068	H9.36h_029	H9.24h_029	H9.36h_147	H9.12h_062	H9.12h_043	H9.96h_104	H9.36h_103	H9.24h_021	H9.96h_192	H9.36h_126	H9.36h_171	H9.72h_105	H9.96h_040	H9.00hb4s_072	H9.72h_016	H9.12h_005	H9.36h_101	H9.00hb4s_087	H9.00hb4s_067	H9.96h_021	H9.72h_077	H9.36h_109	H9.00hb4s_053	H9.36h_119	H9.96h_184	H9.72h_029	H9.96h_059	H9.72h_040	H9.36h_170	H9.96h_039	H9.96h_116	H9.96h_169	H9.96h_175	H9.00hb4s_078	H9.96h_113	H9.36h_103	H9.36h_176	H9.96h_182	H9.36h_092	H9.96h_015	H9.96h_081	H9.96h_158	H9.36h_074	H9.36h_159	H9.24h_075	H9.72h_113	H9.12h_038	H9.96h_098	H9.24h_026	H9.72h_035	H9.24h_033	H9.00hb4s_016	H9.96h_114	H9.72h_087	H9.96h_160	H9.36h_096	H9.72h_111
ANKRD49	5.8632	3.1699	1.0	3.1699	0.0	0.0	8.262	3.1699	4.3219	5.7004	0.0	0.0	2.0072	1.0	2.0	2.0	4.7549	1.0	2.585	3.3219	0.0	0.0	4.9575	0.0	1.0	0.0	0.0	0.0	3.3219	3.1699	2.3219	2.3219	0.0	2.585	2.585	1.0	3.4594	6.5806	3.8074	2.0	6.5078	0.0	1.0	0.0	0.0	1.585	7.6856	0.0	0.0	0.0	1.0	2.585	3.9069	1.585	6.5699	0.0	3.4594	2.0	0.0	6.2095	0.0	4.3219	0.0	5.2854	4.6035	0.0	3.1699	2.0	6.7279	0.0	1.0	1.585	0.0	0.0	5.5018	8.4094	3.8074	2.585	0.0	5.9307	1.0	3.1699	0.0	6.0873	0.0	5.6439	4.2479	4.0875	2.585	9.3265	4.8074	0.0	1.0	4.6439	5.3219	2.8074	5.2095	2.0	1.0	0.0
ANKRD6	8.2652	8.5568	0.0	0.0	0.0	7.1084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2346	8.4443	4.1194	7.2604	6.8596	9.7834	3.841	0.0	0.0	0.0	2.7634	4.5662	7.1084	0.0	4.2304	0.0	0.0	5.4919	0.0	5.8263	4.9069	2.1473	5.6433	0.0	7.7998	0.0	0.0	2.5922	1.0144	0.0	7.0195	3.5398	0.0	6.0444	6.4573	1.0841	0.0	0.0	6.2568	3.3205	4.7777	0.0	0.0	3.9098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8074	8.4443	5.2211	8.0394	6.8234	0.0	7.0446	6.8387	9.9156	0.0	0.0	0.0	1.0841	2.5993	7.2604	5.1763	3.3561	1.1635	0.0	0.0	6.2974	7.1432	0.0	0.0	8.5699	0.0	4.2638	0.0	0.0	0.0	5.5573	4.6605	0.0	5.2932
ANO5	0.0	0.0	1.585	8.2267	7.0224	0.0	0.0	7.0224	8.6366	4.9069	0.0	0.0	1.0	6.508	9.8333	9.6523	0.0	9.7244	6.858	4.5674	9.3333	1.585	7.836	7.3038	0.0	6.1293	0.0	0.0	4.3219	7.9609	5.3219	5.4594	0.0	0.0	0.0	7.8828	0.0	0.0	0.0	0.0	8.2442	1.0	7.9599	0.0	1.0	5.9542	0.0	0.0	8.0768	8.8181	0.0	2.8074	6.9189	5.2095	8.4263	0.0	0.0	6.4594	3.3219	0.0	8.0583	8.6366	0.0	0.0	0.0	7.3129	3.9069	9.6523	9.3792	0.0	6.3923	1.0	0.0	0.0	10.6361	7.4094	8.5581	8.1852	8.8181	0.0	9.7244	3.585	0.0	0.0	8.3743	4.0	0.0	1.585	2.8074	3.8074	0.0	0.0	9.3772	0.0	7.4676	0.0	4.9069	0.0	7.0553	6.5236
ANXA1	0.0	0.0	0.0	0.0	6.5393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4757	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	1.585	5.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.585	0.0	2.0	0.0	2.3219	0.0	0.0	0.0	6.8074	0.0	0.0	6.0661	0.0	0.0	0.0	0.0	0.0	0.0	5.6724	0.0	0.0	0.0	0.0	0.0	0.0	4.858	6.4757	0.0	8.8424	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.8074	0.0	0.0	5.6724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARRDC3	0.0	0.0	6.7549	8.7947	1.0	8.1512	0.0	8.3354	1.0	8.6036	1.0	7.5392	8.1085	0.0	1.585	8.3038	4.2479	9.6546	5.0444	9.2876	8.6691	2.0	7.7879	5.2095	3.3219	5.2095	8.1512	1.585	0.0	9.6405	0.0	0.0	1.0	0.0	0.0	7.0661	0.0	10.2489	7.2925	6.4429	2.585	0.0	1.0	7.9887	0.0	8.3443	8.2095	0.0	8.1869	6.4919	2.0	9.1723	0.0	4.0875	0.0	7.2761	10.1916	3.5595	2.3219	3.585	8.6184	1.0	2.319	7.45	8.8549	1.0	7.5925	8.3038	4.4594	7.1497	7.2481	2.3219	6.7682	1.0	10.1987	1.0	7.3129	0.0	6.4919	8.8633	9.6546	2.8074	4.7004	1.585	9.1875	8.7142	9.2119	2.8074	9.1948	2.3219	1.585	2.0	8.7416	1.0	8.0661	9.3569	1.0	9.7048	3.3219	1.585
ART4	0.0	0.0	0.0	1.0	3.1699	7.6147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	0.0	0.0	4.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1293	0.0	0.0	0.0	0.0	6.7142	0.0	3.1699	0.0	0.0
ATP7A	2.0566	1.926	2.3248	5.191	0.0	0.9928	2.0566	2.3561	1.5509	7.6479	0.0	7.9138	0.0	0.0	5.6576	1.5008	1.0144	0.0	1.0072	1.6599	0.8953	1.1177	7.5447	0.0	2.0807	3.9928	0.9928	1.5753	1.5656	0.0	0.0	1.903	1.0144	4.5656	1.7949	7.5149	6.0241	1.0144	2.1763	0.9635	4.5429	8.6152	2.1859	6.6872	0.0	5.7616	0.0	0.0	0.0	2.9107	0.0	5.9115	1.5898	0.0	1.8197	0.0	2.1243	2.0179	1.0	2.6781	1.6415	1.5509	2.3277	0.0	1.8074	0.856	1.5705	1.5008	1.4005	1.0	2.7115	5.985	0.0	1.4383	0.9635	1.0635	5.5969	5.6407	2.9107	0.0	0.0	0.0	2.3674	1.0	1.5753	2.0942	1.9411	6.4291	1.251	0.0	1.1043	1.0356	1.6135	1.6088	4.2802	1.0909	1.5509	3.0807	0.0	2.6088
ATP8B4	0.0	0.0	0.0	2.0	0.0	0.0	3.3827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4594	0.0	0.0	2.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3219
ATXN1	0.0	0.0	4.1699	1.4957	0.0	0.0	2.8074	7.4346	0.0	0.0	0.8237	6.9189	0.0	0.0	2.3219	0.0	0.0	1.585	0.0	0.0	4.8074	2.0	4.1699	0.0	0.0	7.1898	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.3219	0.0	0.0	6.7944	1.0	0.0	4.4594	0.0	3.0	3.7004	0.0	0.0	5.0005	6.3041	0.0	4.7549	0.0	0.0	0.0	0.0	0.0	3.1715	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4615	0.0	0.0	1.0	0.0	4.2479	0.0	0.0	1.585	0.0	0.0	7.5311	0.0	0.0	0.0	0.0	6.2288	0.0	0.0	0.0	7.2192	0.0	0.0	0.0	7.4525	5.4874	3.585	2.9373
AXL	2.7866	3.433	9.5618	6.0025	7.6716	8.1782	1.774	8.2728	8.2684	10.1796	7.6365	8.9311	7.3049	7.88	7.9612	10.7786	7.221	9.671	7.7264	9.026	6.234	10.6044	9.2515	9.6378	3.4555	8.2642	8.1782	10.7839	7.5813	10.3869	6.4131	7.9476	7.0295	3.406	6.5228	8.0751	1.6415	10.8798	7.9203	8.6257	10.2009	3.4803	9.295	3.2357	2.1731	5.9955	3.4343	1.585	8.1379	5.6323	6.694	10.4599	6.2705	1.5993	8.8596	4.0259	10.3272	3.6381	2.585	5.101	10.1147	8.2684	9.3294	11.7259	8.7662	9.5992	6.5789	10.7786	7.6516	7.8392	7.5614	4.1827	9.9587	1.2327	9.803	7.606	9.681	2.0942	5.6323	1.4436	9.671	4.9293	3.4101	6.0725	5.9846	3.4957	4.985	1.7312	9.3559	2.585	6.9373	4.3234	10.0086	9.1907	8.6287	7.6979	9.6592	10.2488	8.7101	6.7522
