sample	H9_Batch1.055	H1_Exp2.142	TB_Batch2.123	EC_Batch1.017	H9_Batch2.107	H9_Batch2.156	H1_Exp2.140	H1_Exp3.236	TB_Batch2.110	HFF_Batch2.120	DEC_Batch2.130	NPC_Batch2.151	NPC_Batch2.107	H1_Exp1.011	H1_Exp2.087	H9_Batch1.046	DEC_Batch2.124	H1_Exp1.048	DEC_Batch2.136	DEC_Batch1.052	H9_Batch2.158	EC_Batch1.018	H9_Batch2.143	H9_Batch1.029	DEC_Batch1.026	H1_Exp1.064	H9_Batch2.131	H9_Batch2.150	H1_Exp2.139	EC_Batch1.071	EC_Batch1.040	H1_Exp3.281	NPC_Batch2.094	TB_Batch2.099	HFF_Batch2.075	HFF_Batch2.077	H1_Exp1.064	H1_Exp2.091	DEC_Batch2.087	H1_Exp1.017	HFF_Batch3.142	DEC_Batch1.040	DEC_Batch1.012	HFF_Batch1.039	NPC_Batch1.086	H9_Batch2.129	NPC_Batch1.024	HFF_Batch2.056	H1_Exp2.104	HFF_Batch1.038	H9_Batch2.108	EC_Batch1.037	NPC_Batch1.051	NPC_Batch1.030	H9_Batch1.073	EC_Batch1.020	H1_Exp2.108	H1_Exp2.091	DEC_Batch1.037	NPC_Batch2.145	EC_Batch2.112	HFF_Batch3.148	DEC_Batch1.026	HFF_Batch2.054	H1_Exp2.088	H9_Batch1.006	DEC_Batch1.024	H1_Exp1.019	EC_Batch1.020	DEC_Batch2.098	HFF_Batch1.016	H1_Exp2.085	H9_Batch2.131	DEC_Batch1.026	HFF_Batch1.043	DEC_Batch1.062	H1_Exp2.153	HFF_Batch2.101	NPC_Batch1.022	NPC_Batch1.027	DEC_Batch2.102	HFF_Batch3.150	NPC_Batch2.090	DEC_Batch2.106	H1_Exp1.052	HFF_Batch1.031	H1_Exp1.007	H1_Exp2.085	H9_Batch2.131	NPC_Batch1.082	NPC_Batch1.044	H9_Batch2.151	H1_Exp3.263	H9_Batch1.080	H9_Batch2.147	NPC_Batch1.009	DEC_Batch2.095	NPC_Batch1.082	HFF_Batch1.041	H1_Exp2.152
PDCD1LG2	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	4.1316	-0.2805	-0.2805	-0.2805	3.3818	-0.2805	3.8892	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	1.0731	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	2.639	-0.2805	-0.2805	-0.2805	4.1734	-0.2805	-0.2805	-0.2805	1.5741	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805	-0.2805
LEFTY2	1.7625	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	2.2033	-0.5032	-0.5032	1.655	-0.5032	-0.5032	2.5004	-0.5032	1.9901	2.4537	-0.5032	-0.5032	-0.5032	-0.5032	2.2909	-0.5032	-0.5032	1.684	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	2.0045	-0.5032	-0.5032	2.2986	1.5237	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	1.8912	-0.5032	-0.5032	-0.5032	2.2909	-0.5032	-0.5032	0.7184	2.0761	-0.5032	-0.5032	2.3118	-0.5032	-0.5032	-0.5032	2.2909	-0.5032	2.2633	-0.5032	-0.5032	0.5528	-0.5032	2.1135	-0.5032	-0.5032	1.8323	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	-0.5032	1.9966	-0.5032	-0.5032	-0.5032	2.2426	-0.5032	-0.5032	-0.5032
GPNMB	1.206	1.6988	-0.5131	-0.5131	1.206	-0.5131	-0.5131	-0.5131	-0.5131	2.0234	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	1.4008	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	2.1164	1.9604	1.4008	-0.5131	-0.5131	-0.5131	2.2017	-0.5131	-0.5131	2.0817	-0.5131	-0.5131	-0.5131	2.0971	-0.5131	2.2288	1.6533	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	2.0958	-0.5131	2.2496	1.4566	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	1.8857	0.9677	-0.5131	-0.5131	1.8175	-0.5131	-0.5131	2.0818	-0.5131	-0.5131	-0.5131	1.8011	-0.5131	-0.5131	1.4162	2.1296	-0.5131	0.9677	-0.5131	-0.5131	-0.5131	1.8122	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	-0.5131	2.2743	-0.5131
GBP3	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	1.196	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	0.8586	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	1.1925	2.82	-0.41	-0.41	0.9669	-0.41	2.4604	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	1.7908	-0.41	2.7553	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	2.6288	-0.41	2.5507	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	2.6332	-0.41	-0.41	-0.41	2.7781	-0.41	-0.41	2.844	-0.41	-0.41	-0.41	0.866	-0.41	-0.41	-0.41	2.8949	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	-0.41	2.5868	-0.41
PCNA	0.7553	0.7416	0.0734	-2.4712	0.7374	0.5883	0.5485	0.6402	0.2384	-2.4712	0.6047	0.4888	0.4008	0.3808	0.5406	0.635	-2.4712	0.6125	0.7169	-0.0742	0.6756	-2.4712	0.6419	0.7535	0.5796	0.5504	0.3945	0.6519	0.5718	-2.4712	-2.4712	0.7641	-0.6993	0.2452	0.3247	0.4499	0.5504	0.6957	0.5366	0.3488	0.4903	0.7013	0.7356	-0.6993	0.3751	0.6374	0.4166	-2.4712	0.5401	0.7151	0.5735	-2.4712	-0.8393	0.403	0.5935	0.6437	0.2356	0.6957	-1.067	0.4125	-2.4712	-2.4712	0.5796	0.3827	0.4452	0.6503	-1.5853	0.4093	0.6437	-2.4712	-1.5853	0.5741	0.3945	0.5796	0.4036	0.6917	0.121	-0.9367	0.3419	-2.4712	0.1716	-2.4712	0.2314	0.6191	0.351	0.6934	0.3589	0.5741	0.3945	0.2504	0.296	0.7733	0.8438	0.6148	0.5833	0.0886	0.2567	0.2504	0.207	0.506
KL	-0.2812	-0.2812	-0.2812	1.0574	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	3.1642	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	2.8269	-0.2812	-0.2812	-0.2812	1.0574	-0.2812	-0.2812	-0.2812	-0.2812	3.9727	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	1.0574	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812	-0.2812
BUB3	0.8485	0.6076	0.6693	0.9093	0.7107	0.6058	0.3496	0.3466	0.1475	-0.361	0.043	0.065	0.1641	0.4352	0.5705	0.7558	-0.0841	0.7185	0.1661	-0.1194	0.6854	0.4626	0.6336	0.7819	0.0122	0.3801	0.7322	0.5372	0.6607	0.1518	0.2903	0.5822	-0.3883	-0.6893	-0.2754	-0.3963	0.3801	0.3281	-0.2786	-0.5059	-0.127	0.0251	0.2826	0.4868	0.2626	0.2502	0.7741	0.2059	0.5769	1.0438	0.7555	-8.5862	-0.2119	0.0215	0.5827	0.7313	-0.1371	0.3281	0.39	-0.2618	0.4937	-0.2479	0.0122	-1.0785	0.3814	0.3865	-0.1229	-0.1363	0.7313	-1.4593	0.0938	0.1356	0.7322	0.0122	0.3362	0.2125	-0.7855	0.4052	0.576	0.0323	-0.4858	-1.675	-0.6893	-2.4031	0.378	0.7002	-0.0662	0.1356	0.7322	-0.0656	-0.283	0.5339	0.9162	0.3784	0.442	-0.5536	-1.7672	-0.0656	0.2866	-0.0717
C1S	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	1.9373	0.0631	-0.6452	-0.6452	-0.6452	1.567	-0.6452	0.0631	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	0.5815	1.4796	-0.6452	-0.6452	-0.6452	-0.6452	1.7355	-0.6452	-0.6452	1.9543	1.8427	0.5815	-0.6452	-0.6452	1.5243	1.7596	-0.6452	-0.6452	1.7939	-0.6452	-0.6452	-0.6452	1.8447	-0.6452	1.9172	-0.6452	-0.6452	-0.6452	-0.6452	1.3432	-0.6452	1.2504	-0.6452	-0.6452	-0.6452	-0.6452	1.8011	-0.6452	1.9855	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	1.9354	-0.6452	1.4796	-0.6452	1.9179	-0.6452	-0.6452	2.015	-0.6452	-0.6452	-0.6452	0.0631	-0.6452	-0.6452	0.9108	1.1124	1.0892	-0.6452	1.4796	0.3252	-0.6452	0.0631	-0.6452	-0.6452	-0.6452	-0.6452	-0.6452	0.3252	1.7896	-0.6452
PHC1	0.93	0.8913	0.6648	-0.733	0.8246	0.746	0.8547	0.8074	0.2714	-1.8989	-0.6447	0.1484	0.3657	0.7333	0.7877	0.8758	-0.334	0.8095	0.7286	-0.6497	0.8389	-1.8989	0.814	0.914	-0.7881	0.7431	0.8395	0.7442	0.8995	-1.8989	-1.8989	0.8721	0.3184	0.5527	0.5008	0.5673	0.7431	0.8113	0.4186	0.6142	-0.0016	-0.6832	0.6249	-1.8989	0.2925	0.834	-0.6389	0.3069	0.7936	0.7429	0.7641	-1.8989	-1.8989	-0.2046	0.8099	0.7877	0.7221	0.8113	0.6986	0.0374	-0.5334	-1.8989	-0.7881	-1.8989	0.8133	0.7724	-0.2106	0.6881	0.7877	-0.891	-1.8989	0.711	0.8395	-0.7881	0.6458	-0.243	0.4649	0.5805	0.1945	0.2512	-0.9393	-1.8989	0.1526	-0.6487	0.7894	-0.9818	0.6382	0.711	0.8395	0.3101	0.4993	0.8306	0.9592	0.7461	0.8549	-0.1814	-0.3888	0.3101	0.5561	0.7088
ZP2	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	6.089	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	5.72	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	3.2332	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208	-0.208
MGLL	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	1.4509	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	1.7966	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	1.9785	2.1072	-0.454	-0.454	-0.454	-0.454	2.4012	-0.454	-0.454	2.3938	-0.454	-0.454	-0.454	2.5003	-0.454	2.5166	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	2.1389	-0.454	2.4665	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	2.3767	-0.454	-0.454	-0.454	2.3347	-0.454	-0.454	2.3293	-0.454	-0.454	-0.454	2.3504	-0.454	-0.454	-0.454	2.1974	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	-0.454	0.3869	-0.454
FOXF1	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	2.7329	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	1.923	-0.4007	-0.4007	2.7712	-0.4007	-0.4007	-0.4007	2.6345	-0.4007	2.8533	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	2.7197	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	3.0366	-0.4007	-0.4007	-0.4007	2.5687	-0.4007	-0.4007	0.5357	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	2.8501	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	-0.4007	2.7772	-0.4007
DLGAP5	0.2184	0.7821	-2.1738	-2.1738	0.7891	0.6907	0.6724	0.6008	0.7377	-2.1738	0.3681	0.589	0.6796	0.3339	0.7862	0.7116	-2.1738	0.7947	0.7294	-0.2017	0.7273	-2.1738	0.7921	0.8527	-2.1738	0.6592	0.828	0.6453	0.3219	-2.1738	-1.5135	0.8115	-0.6266	0.813	-2.1738	-1.2588	0.6592	0.7254	-2.1738	0.4656	-1.1049	0.5868	0.0855	-0.7086	0.5916	0.7724	0.8087	-1.2295	0.8669	0.9222	0.7501	-1.212	0.8505	0.7395	0.5984	0.6377	0.6198	0.7254	0.2868	0.585	-0.8183	-1.1885	-2.1738	-2.1738	0.589	0.5715	0.9071	0.3178	0.6377	-2.1738	-1.3544	0.5383	0.828	-2.1738	-0.0024	0.3647	0.0978	-0.3763	0.8879	-0.2523	-2.1738	-1.3365	0.8009	0.1893	0.6354	0.8401	0.4228	0.5383	0.828	0.6187	-0.5502	0.8807	0.0104	0.5873	0.6754	0.5596	-0.7764	0.6187	-0.3277	0.3956
IL13RA2	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	5.4203	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	5.1221	-0.1895	-0.1895	5.1355	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	-0.1895	6.6101	-0.1895
ADSL	0.7099	0.656	0.5822	0.8722	0.5679	0.5257	0.607	0.5133	0.3826	0.2334	-0.1288	0.4669	0.1166	0.4266	0.5536	0.5297	-0.8818	0.5154	-0.1947	-1.4005	0.3144	-0.1413	0.3332	0.4548	0.2706	0.3028	0.5514	0.5602	0.4822	-3.9189	-0.569	0.8094	0.2547	0.3595	-1.5995	-2.1936	0.3028	0.6373	-1.4005	0.182	-0.0638	0.5073	0.4699	0.4763	0.0913	0.6681	0.0986	0.3188	0.5575	-0.4278	0.5081	-2.6597	-0.6778	0.1096	0.4742	0.3943	0.3651	0.6373	0.0476	-1.4005	0.4832	-0.6639	0.2706	0.449	0.5328	0.3918	0.2823	0.1746	0.3943	-2.1936	0.4936	0.3013	0.5514	0.2706	-0.1797	0.0464	-0.0381	0.1812	0.5814	-1.1074	0.3999	-0.3353	-3.9189	-0.3958	0.4454	0.4618	0.3081	0.3013	0.5514	0.0881	0.4858	0.4651	0.7195	0.2688	0.55	-0.0037	-0.58	0.0881	0.4332	0.2264
CCNB1	0.5842	0.7252	-0.7311	0.686	0.7729	0.6268	0.5144	0.3426	0.6942	-2.3454	0.3873	0.4893	0.4133	0.4856	0.612	0.6193	-0.0675	0.7373	0.5247	0.5635	0.6066	-2.3454	0.6906	0.7581	0.3282	0.5997	0.7143	0.6445	0.5113	-2.3454	-1.2125	0.7298	0.3754	0.5629	-0.12	-1.0349	0.5997	0.4711	0.1335	0.4188	0.0353	0.4	0.4607	-1.5185	0.6229	0.6169	0.7765	-2.3454	0.6592	0.87	0.6058	-2.3454	0.6272	0.5767	0.6039	0.7548	0.401	0.4711	0.1001	-0.1261	-0.9133	-2.3454	0.3282	-0.062	0.6796	0.4871	0.6057	0.3742	0.7548	-0.3856	-2.3454	0.5302	0.7143	0.3282	0.4355	0.4694	0.1212	-2.3454	0.8102	-0.1261	-0.4479	-1.5185	0.5205	0.6328	0.6648	-0.4048	0.3924	0.5302	0.7143	0.4681	-0.3511	0.634	0.61	0.6538	0.6792	-0.1992	-0.1261	0.4681	-0.0714	0.5483
BCAT1	0.8178	0.4602	-0.3737	0.6785	0.6277	0.309	0.56	0.331	-0.4677	-0.1173	0.0524	0.4645	0.2331	0.554	0.4302	0.4031	0.2681	0.6959	-2.2508	-1.3157	0.2884	0.2721	0.5389	0.5321	-0.8439	0.4411	0.2137	0.1739	0.5228	0.9615	-0.1738	0.9983	0.1092	0.4205	0.2383	0.5978	0.4411	0.9236	-2.9692	0.2077	-1.227	-0.4509	0.0579	0.9063	0.1012	0.6124	0.6515	0.3986	0.3718	0.7378	0.6168	-4.1693	-2.2124	0.3732	0.3798	0.7548	0.0322	0.9236	-2.7399	0.2023	0.4662	-0.755	-0.8439	-0.0923	0.4121	0.3431	-0.6979	0.6144	0.7548	0.4636	-0.0152	0.0366	0.2137	-0.8439	0.6065	0.3846	-0.8618	0.2536	0.209	0.6704	-3.2799	-0.085	0.0624	-2.3291	0.2878	0.4024	-0.0296	0.0366	0.2137	0.1214	0.745	0.5299	0.6134	0.3572	0.3966	-0.042	-1.9198	0.1214	0.2873	-0.2515
FGF12	0.6878	-1.4254	-1.4254	1.2213	0.8217	0.3759	0.3583	0.5037	-1.4254	-1.4254	0.6044	-1.4254	0.6818	0.7069	0.5973	0.7737	-0.3523	0.265	0.8584	0.0621	0.8158	1.1336	0.7873	0.9638	0.929	0.6516	0.6072	0.844	0.2841	1.1224	1.0714	0.6642	0.5396	-1.4254	-1.4254	-1.4254	0.6516	0.7712	0.9272	0.6669	-1.4254	0.9469	0.1637	-1.4254	0.8571	0.785	-1.4254	-1.4254	0.7779	-1.4254	0.6165	-0.3523	-1.4254	-1.4254	-1.4254	0.9556	0.6112	0.7712	0.9255	0.673	1.0644	-1.4254	0.929	-1.4254	0.7847	0.7423	0.8571	0.5417	0.9556	-0.0713	-1.4254	0.4815	0.6072	0.929	-1.4254	0.737	0.5386	-1.4254	-1.4254	-1.4254	-0.0306	-1.4254	-1.4254	0.9063	0.6412	-1.4254	0.5518	0.4815	0.6072	0.3014	0.8698	-0.3523	0.3095	0.673	0.3814	-1.4254	0.9204	0.3014	-1.4254	0.1643
ERBB4	-0.4894	-0.4894	0.5389	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	0.2611	-0.4894	1.919	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	2.3428	-0.4894	2.3537	2.1968	-0.4894	-0.4894	-0.4894	-0.4894	2.1641	-0.4894	-0.4894	-0.4894	1.4662	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	2.4835	0.5389	-0.4894	2.2013	2.3065	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	2.423	-0.4894	-0.4894	-0.4894	2.1641	-0.4894	-0.4894	-0.4894	2.3425	-0.4894	-0.4894	2.33	-0.4894	-0.4894	-0.4894	2.1641	-0.4894	2.2297	-0.4894	-0.4894	-0.4894	0.2611	2.3968	-0.4894	-0.4894	2.3113	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	1.0116	1.4662	-0.4894	-0.4894	-0.4894	-0.4894	-0.4894	2.2459	1.0116	-0.4894	-0.4894
KLHL31	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	2.4473	-0.2635	-0.2635	1.1419	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	3.7527	-0.2635	-0.2635	4.2712	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	1.1419	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	4.2712	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	2.7696	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	4.2712	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635	-0.2635
PAPPA2	-0.3043	-0.3043	3.6254	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	3.5404	-0.3043	-0.3043	-0.3043	1.7803	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	3.3347	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	2.4075	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	2.6528	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043	-0.3043
IFI44	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	4.6745	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	4.9465	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	4.9257	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	1.829	-0.2406	-0.2406	-0.2406	1.2699	-0.2406	-0.2406	3.8862	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	1.2699	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	-0.2406	4.525	-0.2406
CTTN	-0.2308	0.328	0.4885	1.6068	0.5683	0.3258	-0.334	-0.2565	0.5182	0.9658	0.3565	-0.9512	-1.2785	0.0628	0.0812	-0.6029	-0.4755	-0.2596	0.7372	-1.0523	-0.0314	1.1268	-0.0189	0.0627	0.3161	-0.5486	0.5887	0.1186	-0.0801	0.6664	0.1164	0.2215	-5.1322	0.2008	0.9505	0.7765	-0.5486	0.1803	0.4628	-0.9025	0.4351	0.1106	0.5314	1.3171	0.1279	0.4346	-0.0103	1.1948	-0.0038	1.5346	0.2585	0.6201	-8.0588	-0.3683	-0.0297	-0.1307	-0.5688	0.1803	0.4157	-0.2788	-0.1328	-0.0257	0.3161	0.4888	-0.1383	0.0696	0.3774	-0.9159	-0.1307	-0.3217	1.1056	-0.2586	0.5887	0.3161	1.1775	0.4521	-2.0452	1.0638	-0.3252	0.1045	0.3044	0.0749	-1.009	0.6008	-0.6469	1.1815	-0.8244	-0.2586	0.5887	-1.3711	0.154	0.6414	-0.1401	-0.2424	0.5498	-0.5159	-1.9652	-1.3711	1.1663	-0.7935
