sample	H9_Batch1.055	H1_Exp2.142	TB_Batch2.123	EC_Batch1.017	H9_Batch2.107	H9_Batch2.156	H1_Exp2.140	H1_Exp3.236	TB_Batch2.110	HFF_Batch2.120	DEC_Batch2.130	NPC_Batch2.151	NPC_Batch2.107	H1_Exp1.011	H1_Exp2.087	H9_Batch1.046	DEC_Batch2.124	H1_Exp1.048	DEC_Batch2.136	DEC_Batch1.052	H9_Batch2.158	EC_Batch1.018	H9_Batch2.143	H9_Batch1.029	DEC_Batch1.026	H1_Exp1.064	H9_Batch2.131	H9_Batch2.150	H1_Exp2.139	EC_Batch1.071	EC_Batch1.040	H1_Exp3.281	NPC_Batch2.094	TB_Batch2.099	HFF_Batch2.075	HFF_Batch2.077	H1_Exp1.064	H1_Exp2.091	DEC_Batch2.087	H1_Exp1.017	HFF_Batch3.142	DEC_Batch1.040	DEC_Batch1.012	HFF_Batch1.039	NPC_Batch1.086	H9_Batch2.129	NPC_Batch1.024	HFF_Batch2.056	H1_Exp2.104	HFF_Batch1.038	H9_Batch2.108	EC_Batch1.037	NPC_Batch1.051	NPC_Batch1.030	H9_Batch1.073	EC_Batch1.020	H1_Exp2.108	H1_Exp2.091	DEC_Batch1.037	NPC_Batch2.145	EC_Batch2.112	HFF_Batch3.148	DEC_Batch1.026	HFF_Batch2.054	H1_Exp2.088	H9_Batch1.006	DEC_Batch1.024	H1_Exp1.019	EC_Batch1.020	DEC_Batch2.098	HFF_Batch1.016	H1_Exp2.085	H9_Batch2.131	DEC_Batch1.026	HFF_Batch1.043	DEC_Batch1.062	H1_Exp2.153	HFF_Batch2.101	NPC_Batch1.022	NPC_Batch1.027	DEC_Batch2.102	HFF_Batch3.150	NPC_Batch2.090	DEC_Batch2.106	H1_Exp1.052	HFF_Batch1.031	H1_Exp1.007	H1_Exp2.085	H9_Batch2.131	NPC_Batch1.082	NPC_Batch1.044	H9_Batch2.151	H1_Exp3.263	H9_Batch1.080	H9_Batch2.147	NPC_Batch1.009	DEC_Batch2.095	NPC_Batch1.082	HFF_Batch1.041	H1_Exp2.152
ZWINT	0.7192	0.8092	-1.6857	-1.6857	0.7807	0.5624	0.7714	0.8299	0.6765	-1.6857	0.8097	0.6609	0.7767	0.6089	0.5624	0.8002	-1.6857	0.7253	0.822	-0.1245	0.8639	-1.6857	0.8604	0.8638	-0.0178	0.6601	0.5463	0.7464	0.8121	-1.6857	-1.6857	0.8803	-1.6857	-0.0014	-1.6857	-1.6857	0.6601	0.7557	0.6499	0.4505	-1.6857	0.6397	0.8501	0.7988	0.7523	0.702	0.5695	-1.6857	0.7281	0.9667	0.761	-1.6857	-0.975	0.4246	0.7474	0.8478	0.6069	0.7557	0.7252	0.7126	-1.6857	-1.6857	-0.0178	-1.6857	0.7844	0.4799	-0.2217	0.5822	0.8478	-1.6857	-1.6857	0.6294	0.5463	-0.0178	-1.6857	-0.0165	0.2768	-1.6857	0.5122	-0.185	0.0281	-1.6857	0.6202	0.1178	0.6185	-1.6857	0.5404	0.6294	0.5463	0.7041	-0.4548	0.7937	0.7926	0.8025	0.5862	0.1732	0.3251	0.7041	-1.6857	0.6241
FAP	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	2.321	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	2.2031	2.4393	-0.4421	-0.4421	-0.4421	-0.4421	2.3393	-0.4421	-0.4421	0.356	-0.4421	-0.4421	-0.4421	2.2108	-0.4421	1.9258	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	0.356	-0.4421	2.3821	-0.4421	2.5475	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	1.8055	-0.4421	-0.4421	-0.4421	2.4726	-0.4421	-0.4421	2.4922	-0.4421	-0.4421	-0.4421	1.154	-0.4421	-0.4421	-0.4421	2.3656	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	-0.4421	2.3226	-0.4421
TXLNA	0.1778	0.4823	0.0533	0.7899	0.6318	0.3912	0.368	0.324	0.5008	0.7463	0.4178	0.3859	0.3818	0.0079	0.1387	0.4494	-0.5813	-0.0511	0.5924	-3.2095	0.354	0.5488	0.4379	0.2073	0.0229	0.0728	0.6471	0.3257	-0.3155	0.3089	0.74	0.5126	0.1328	-0.1135	0.4165	0.649	0.0728	0.5	0.1685	-0.2992	0.4118	-0.8469	0.4249	0.6497	0.3811	0.7149	-0.8223	0.1773	0.419	0.6191	0.3712	0.3483	-5.4029	0.3337	0.0627	0.4807	0.3183	0.5	-0.0128	0.2051	-1.2155	0.3408	0.0229	0.537	0.3238	0.2591	0.6858	0.0631	0.4807	-2.4542	0.4929	0.1762	0.6471	0.0229	0.6411	-3.802	-0.3182	0.568	-1.6457	0.5552	0.0435	0.239	-0.0753	0.5286	0.1949	0.617	-0.1618	0.1762	0.6471	-0.0576	0.3158	0.5585	0.2213	0.1578	0.4805	-0.1201	-0.8598	-0.0576	0.814	0.1536
TDGF1	1.016	1.1261	-2.1277	-1.6925	0.9563	0.9336	1.0542	0.8754	-1.0177	-0.9979	1.1729	-1.6541	-0.8167	0.9086	0.9861	0.8818	0.71	0.9708	1.0767	1.03	1.0429	-0.5616	1.0337	0.9047	0.9958	0.9122	0.93	0.9702	1.0912	-0.4757	-0.7663	1.1305	-0.9574	-0.6409	-1.2824	-0.9007	0.9122	1.0355	1.0315	0.7994	-1.1478	1.0585	0.9221	-0.8409	-0.9794	0.9877	-1.224	-0.7826	1.0617	-0.4977	1.0309	-1.7927	-0.5718	-1.1418	0.9663	-0.8995	0.7455	1.0355	1.1152	-1.2351	-0.7736	-0.8091	0.9958	-0.6697	0.925	1.0112	1.0754	0.804	-0.8995	0.631	-0.6447	0.9121	0.93	0.9958	-0.9531	1.0822	0.5037	-0.2965	-1.091	-0.5626	0.9935	-1.2596	-0.8893	1.0852	0.8254	-0.369	0.8372	0.9121	0.93	-0.9409	-1.0551	0.9948	1.0722	0.8773	1.0093	-2.0964	0.7436	-0.9409	-0.922	0.811
NUPR1	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	1.775	-0.4637	0.3596	-0.4637	2.3365	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	2.4782	2.5126	-0.4637	1.4685	-0.4637	-0.4637	2.1096	1.9096	-0.4637	2.423	-0.4637	-0.4637	-0.4637	2.4124	-0.4637	2.102	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	1.4685	-0.4637	-0.4637	-0.4637	2.423	-0.4637	2.5775	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	2.2103	-0.4637	-0.4637	-0.4637	2.2915	-0.4637	-0.4637	1.1243	-0.4637	-0.4637	-0.4637	2.2458	-0.4637	-0.4637	-0.4637	0.8426	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	-0.4637	2.3591	-0.4637
KLF9	-0.3977	-0.3977	0.5733	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.6457	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.7033	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.5514	2.7197	-0.3977	-0.3977	-0.3977	-0.3977	2.0118	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.6189	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.5794	-0.3977	3.1062	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.9559	-0.3977	-0.3977	-0.3977	0.5314	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	0.5733	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	-0.3977	2.9348	-0.3977
SQRDL	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	1.3625	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	2.7715	2.7347	-0.3931	-0.3931	-0.3931	-0.3931	2.6863	-0.3931	-0.3931	2.5978	-0.3931	-0.3931	-0.3931	3.0146	-0.3931	1.9796	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	2.5933	-0.3931	2.6942	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	2.3696	-0.3931	-0.3931	-0.3931	2.8695	-0.3931	-0.3931	2.9747	2.6681	-0.3931	-0.3931	2.2527	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	-0.3931	0.563	-0.3931
CFI	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	2.9984	-0.2231	3.1783	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	5.2548	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	5.2033	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	-0.2231	3.5572	-0.2231	-0.2231	-0.2231	-0.2231
ANXA1	-0.8161	-0.8161	1.4771	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	1.1647	1.505	-0.8161	-0.2053	0.9293	-0.8161	-0.8161	-0.8161	-0.8161	0.0208	-0.8161	0.9547	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	1.266	1.3726	-0.8161	-0.8161	1.5155	1.5049	1.5414	-0.8161	-0.8161	-0.8161	-0.8161	1.4136	-0.8161	-0.8161	1.6217	-0.8161	-0.8161	-0.2053	1.3925	-0.8161	1.6155	-0.8161	0.0208	0.5676	1.1942	-0.8161	-0.2053	-0.8161	-0.8161	-0.8161	-0.2053	-0.8161	1.5169	-0.8161	1.4081	-0.8161	-0.8161	-0.8161	-0.8161	-0.2053	-0.8161	1.5639	-0.8161	-0.8161	-0.8161	1.5436	-0.8161	-0.8161	1.5867	0.9043	-0.8161	-0.8161	1.418	-0.8161	-0.8161	-0.8161	1.5727	-0.8161	-0.8161	-0.8161	1.0453	1.2679	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	-0.8161	1.0453	1.5912	-0.8161
NT5E	-0.529	-0.529	-0.529	1.9259	-0.529	-0.529	-0.529	-0.529	-0.529	1.9595	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	1.0914	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	1.8762	-0.529	-0.529	-0.529	-0.529	1.8068	2.1855	-0.529	-0.529	-0.529	-0.529	1.6579	-0.529	-0.529	2.3186	-0.529	-0.529	-0.529	-0.529	-0.529	2.3512	-0.529	1.2723	-0.529	-0.529	-0.529	2.1292	-0.529	-0.529	-0.529	-0.529	2.0126	1.698	-0.529	1.946	-0.529	-0.529	-0.529	-0.529	2.1292	-0.529	2.2522	-0.529	-0.529	-0.529	2.1437	-0.529	-0.529	2.1086	-0.529	-0.529	-0.529	0.2384	-0.529	-0.529	-0.529	2.3066	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	-0.529	1.9128	-0.529
